Citrus_Type,Scientific_Name,Origin_Region,Flowering_Season_North,Flowering_Month_Start,Months_Flower_to_Fruit_Avg,Petal_Count_Range,Flower_Diameter_mm,Fragrance_Primary_Note,Fragrance_Intensity_1_10,Scent_Chemical_Dominant
Sweet Orange (Navel),Citrus sinensis,Southeast Asia,Spring,3,9,5,25,Sweet & Floral,7,Limonene
Blood Orange,Citrus sinensis,Mediterranean,Spring,4,9,5,22,Raspberry-like & Sweet,6,Valencene
Lemon (Eureka),Citrus limon,Northeast India,Year-round (Peaks Spring),3,7,5,30,Sharp & Fresh,8,Citral
Key Lime,Citrus aurantiifolia,Southeast Asia,Spring/Summer,5,5,5,18,Zesty & Spicy,6,Terpineol
Grapefruit,Citrus paradisi,Barbados (Caribbean),Spring,4,10,5,45,Bitter-sweet & Sulphurous,5,Nootkatone
Pomelo,Citrus maxima,Southeast Asia,Spring,2,11,5,55,Mild & Sweet,4,Myrcene
Mandarin (Satsuma),Citrus unshiu,Japan/China,Spring,4,7,5,20,Delicate & Honeyed,6,Dimethyl anthranilate
Yuzu,Citrus junos,China/Tibet,Spring,4,6,5,25,Tart & Floral (Complex),9,Yuzunone
Bergamot,Citrus bergamia,Italy (Calabria),Winter/Spring,2,10,5,23,Earl Grey & Perfume,10,Linalyl acetate
Buddha's Hand,Citrus medica var. sarcodactylis,Northeast India,Spring/Summer,5,6,5,35,Lavender & Lemon,8,Limonene/Gamma-terpinene
Kumquat,Citrus japonica,China,Summer,6,5,5,15,Intensely Sweet,7,Limonene
Kaffir Lime (Makrut),Citrus hystrix,Southeast Asia,Spring,3,6,5,20,Green & Soapy,8,Citronellal
Finger Lime,Citrus australasica,Australia,Autumn/Winter,9,5,5,10,Herbaceous,4,Isomenthone
Chinotto,Citrus myrtifolia,Italy (Liguria),Spring,4,10,5,15,Myrtle & Woody,6,Pinene
Meyer Lemon,C. limon x C. reticulata,China,Year-round,2,7,5,28,Spicy & Sweet,7,Thymol
